Y X1 X2 X3 X4 X5 X6 X7 X8 X9 X10
2.24 0.16 0.23 0.29 0.54 0.13 0.87 0.5 0.99 0.46 0.73
1.26 0.59 0.45 0.91 0.99 0.39 0.76 0.89 0.71 0.95 0.69
3.35 0.96 0.98 0.2 0.28 0.48 0.53 0.18 0.66 0.22 0.92
2.24 0.67 0.81 0.22 0.62 0.38 0.96 0.01 1 0.41 0.43
1.29 0.64 0.63 0.19 0.23 0.38 0.81 0.06 0.93 0.84 0.66
3.14 0.4 0.45 0.53 0.74 0.64 0.51 0.27 0.19 0.39 0.09
4.09 0.26 0.26 0.91 0.06 0.25 0.81 0.74 0.44 0.56 0.54
2.71 0.02 -0.02 0.25 0.85 0.73 0.51 0.87 0.72 0.32 0.18
1.89 0.22 0.3 0.49 0.18 0.23 0.19 0.04 0.85 0.4 0.38
2.46 0.31 0.38 0.55 0.49 0.32 0.16 0.29 0.72 0.11 0.59
3.79 0.46 0.58 0.95 0.44 0.54 0.42 0.94 0.75 0.02 0.61
0.66 0.37 0.08 0.48 0.32 0.37 0.68 0.59 0.8 0.74 0.4
3.49 0.63 0.7 0.99 0.59 0.65 0.86 0.04 0.54 0.16 0.38
1.39 0.61 0.67 0.24 0.13 0.56 0.49 0.52 0.64 0.99 0.99
1.61 0.17 0.17 0.21 0.08 0.33 0.46 0.23 0.24 0.82 0.57
2.04 0.11 0.14 0.64 0.93 0.33 0.04 0.87 0.87 0.5 0.96
4.55 0.84 0.91 0.2 0.57 0.01 0.48 0.03 0.35 0.62 0.69
3.89 0.98 0.82 0.31 0.89 0.89 0.46 0.42 0.12 0.14 0.72
3.13 0.19 0.15 0.82 0.14 0.57 0.24 0.11 0.01 0.71 0.68
2.57 0.38 0.42 0.57 0.26 0.75 0.74 0.62 0.41 0.59 0.84
1.46 0.74 0.66 0.43 0.82 0.94 0.26 0.8 0.53 0.91 0.23
2.43 0.59 0.49 0.68 0.41 0.82 0.05 0.05 0.82 0.38 0.97
3.85 0.36 0.43 0.89 0.48 0.92 0.27 0.47 0.18 0.19 0.66
1.3 0.64 0.55 0.04 0.57 0.11 0.39 0.42 0.22 0.12 0.45
